Model,redundancy_mean,redundancy_sd,accuracy_mean,accuracy_sd,completeness_mean,completeness_sd
GPT-3.5-TURBO-0125_RAGFS,4.133333333333334,1.1712179184205553,2.7333333333333334,1.1179076500875615,1.8666666666666667,0.6756457467795108
GPT-3.5-TURBO-0125_RAGNFS,4.169491525423729,1.0026265914205024,3.305084745762712,1.0043738362976,2.3620689655172415,0.8099875646017275
GPT-4O-MINI_NRAG,3.35,0.6845758305670819,3.4,0.9777178546952238,3.0,1.2073222927802119
GPT-4O-MINI_RAGFS,3.9833333333333334,0.8535403174111507,3.35,0.7324211069911227,2.466666666666667,0.6234585511256951
GPT-4O-MINI_RAGNFS,3.8666666666666667,0.6500760494407537,3.566666666666667,0.9977375536626356,2.85,1.1472147553598038
GPT-4O_NRAG,3.0166666666666666,0.5963637459756623,3.2666666666666666,0.9719222028339416,2.533333333333333,0.8726866109342774
GPT-4O_RAGFS,4.271186440677966,0.8676267367340251,3.683333333333333,0.8923719424185294,2.9,1.0845603655125327
GPT-4_NRAG,3.4833333333333334,0.7917298517752694,3.2,1.1016166856188674,2.7796610169491527,1.0011682246974158
GPT-4_RAGFS,4.083333333333333,0.9259290646525583,3.2666666666666666,0.8994662573007385,2.55,0.8114644639607985
GPT-4_RAGNFS,4.033898305084746,0.586224086109577,3.316666666666667,0.9998587470859539,2.6166666666666667,0.9222607937841728
