Model,Avg_FK_Readability,Avg_FK_Grade,Avg_FK_CalcGrade,Avg_Num_Words,Avg_Num_Syllables,Avg_Num_Sentences
GPT-4_RAGFS,103.33036666666666,5th Grade,0.5846666666666668,306.5,349.4,44.3
GPT-4_RAGNFS,93.1794,5th Grade,2.866566666666667,321.6,391.8,30.9
GPT-4_NRAG,91.4176333333333,5th Grade,3.0361333333333334,396.46666666666664,492.96666666666664,39.53333333333333
GPT-3.5-TURBO-0125_RAGFS,72.441,7th Grade,5.946733333333333,207.03333333333333,298.46666666666664,18.866666666666667
GPT-3.5-TURBO-0125_RAGNFS,63.06013333333331,9th Grade,7.848966666666667,327.76666666666665,504.3666666666667,24.266666666666666
GPT-3.5-TURBO-0125_NRAG,65.00450000000001,9th Grade,7.919233333333336,327.9,492.46666666666664,22.6
GPT-4O-MINI_RAGFS,96.58616666666667,5th Grade,1.7364666666666664,301.1666666666667,365.1333333333333,38.733333333333334
GPT-4O-MINI_RAGNFS,90.48383333333332,5th Grade,3.1630999999999996,409.93333333333334,514.9,40.63333333333333
GPT-4O-MINI_NRAG,88.1271,6th Grade,3.5246666666666666,509.7,653.0,49.63333333333333
GPT-4O_RAGFS,95.72776666666667,5th Grade,2.166666666666667,367.76666666666665,444.23333333333335,41.53333333333333
GPT-4O_RAGNFS,87.68920000000001,6th Grade,3.7885333333333335,423.26666666666665,539.6666666666666,38.4
GPT-4O_NRAG,90.89916666666666,5th Grade,3.077466666666666,438.1,546.8,43.86666666666667
